Episode,Time,Reward,World,Stage,X Position,Y Position,Life,Score,Status,Reached Flag
276,0,0.688546895980835,223.48,1,1,40,79,1,0,small,False
277,0,0.6845521926879883,223.48,1,1,40,79,1,0,small,False
278,0,0.6766715049743652,223.48,1,1,40,79,1,0,small,False
279,0,0.6829545497894287,223.48,1,1,40,79,1,0,small,False
280,0,0.6790492534637451,223.48,1,1,40,79,1,0,small,False
281,0,0.6836521625518799,223.48,1,1,40,79,1,0,small,False
282,0,0.67803955078125,223.48,1,1,40,79,1,0,small,False
283,0,0.6829454898834229,223.48,1,1,40,79,1,0,small,False
284,0,0.6968734264373779,223.48,1,1,40,79,1,0,small,False
285,0,0.6979701519012451,223.48,1,1,40,79,1,0,small,False
286,0,0.719942569732666,223.48,1,1,40,79,1,0,small,False
287,0,0.6794312000274658,223.48,1,1,40,79,1,0,small,False
288,0,0.6837968826293945,223.48,1,1,40,79,1,0,small,False
289,0,0.6776149272918701,223.48,1,1,40,79,1,0,small,False
290,0,0.6744372844696045,223.48,1,1,40,79,1,0,small,False
291,0,0.6809689998626709,223.48,1,1,40,79,1,0,small,False
292,0,0.684213399887085,223.48,1,1,40,79,1,0,small,False
293,0,0.6831674575805664,223.48,1,1,40,79,1,0,small,False
294,0,0.685006856918335,223.48,1,1,40,79,1,0,small,False
295,0,32.90301251411438,-344.4200000000001,1,1,594,79,2,100,small,False
296,0,32.2143177986145,-344.9200000000001,1,1,594,79,2,100,small,False
297,0,32.77935600280762,-345.18000000000006,1,1,594,79,2,0,small,False
298,0,32.6547429561615,-344.4800000000001,1,1,594,101,2,100,small,False
299,0,32.29558873176575,-345.12000000000006,1,1,594,99,2,0,small,False
300,0,32.04845929145813,-344.9600000000001,1,1,594,79,2,100,small,False
301,0,3.990244150161743,71.89999999999999,1,1,40,79,1,0,small,False
302,0,32.767993211746216,-506.00000000000006,1,1,434,99,2,100,small,False
303,0,3.4144654273986816,18.099999999999998,1,1,40,79,1,0,small,False
304,0,0.9750063419342041,197.29999999999998,1,1,40,79,1,0,small,False
305,0,32.71319508552551,-342.44000000000005,1,1,594,84,2,100,small,False
